 Prayer Times Schedule 2003
Location: Taif, SAUDI ARABIA
Juristic Method: Standard, Timezone: GMT +3.0
Calculation Method: Umm Al-Qura 
January  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
24 5:01 6:19 12:25 3:50 6:31 8:01 
25 5:00 6:18 12:25 3:50 6:31 8:01 
26 4:59 6:17 12:25 3:50 6:32 8:02 
27 4:58 6:16 12:24 3:50 6:32 8:02 
28 4:57 6:15 12:24 3:49 6:32 8:02 
29 4:56 6:14 12:24 3:49 6:33 8:03 
30 4:55 6:13 12:23 3:49 6:33 8:03 
31 4:54 6:12 12:23 3:48 6:33 8:03 
April  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:53 6:12 12:23 3:48 6:33 8:03 
2 4:52 6:11 12:23 3:48 6:34 8:04 
3 4:51 6:10 12:22 3:47 6:34 8:04 
4 4:50 6:09 12:22 3:47 6:34 8:04 
5 4:49 6:08 12:22 3:47 6:35 8:05 
6 4:48 6:07 12:21 3:46 6:35 8:05 
7 4:47 6:06 12:21 3:46 6:35 8:05 
8 4:46 6:05 12:21 3:46 6:36 8:06 
9 4:45 6:04 12:21 3:45 6:36 8:06 
10 4:44 6:04 12:20 3:45 6:36 8:06 
11 4:43 6:03 12:20 3:45 6:37 8:07 
12 4:42 6:02 12:20 3:44 6:37 8:07 
13 4:41 6:01 12:20 3:44 6:37 8:07 
14 4:40 6:00 12:19 3:43 6:38 8:08 
15 4:39 5:59 12:19 3:43 6:38 8:08 
16 4:38 5:59 12:19 3:43 6:38 8:08 
17 4:38 5:59 12:19 3:43 6:38 8:08 
18 4:36 5:57 12:18 3:42 6:39 8:09 
19 4:35 5:56 12:18 3:42 6:39 8:09 
20 4:34 5:55 12:18 3:41 6:40 8:10 
21 4:33 5:55 12:18 3:41 6:40 8:10 
22 4:32 5:54 12:17 3:40 6:40 8:10 
23 4:32 5:53 12:17 3:40 6:41 8:11 
24 4:31 5:52 12:17 3:40 6:41 8:11 
25 4:30 5:52 12:17 3:39 6:41 8:11 
26 4:29 5:51 12:17 3:39 6:42 8:12 
27 4:28 5:50 12:17 3:38 6:42 8:12 
28 4:28 5:50 12:17 3:38 6:42 8:12 
29 4:26 5:49 12:16 3:38 6:43 8:13 
30 4:25 5:48 12:16 3:37 6:43 8:13  
 May  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:25 5:48 12:16 3:37 6:44 8:14 
2 4:24 5:47 12:16 3:37 6:44 8:14 
3 4:23 5:46 12:16 3:36 6:45 8:15 
4 4:22 5:46 12:16 3:36 6:45 8:15 
5 4:21 5:45 12:16 3:35 6:45 8:15 
6 4:21 5:44 12:16 3:35 6:46 8:16 
7 4:20 5:44 12:15 3:35 6:46 8:16 
8 4:19 5:43 12:15 3:34 6:47 8:17 
9 4:19 5:43 12:15 3:34 6:47 8:17 
10 4:18 5:42 12:15 3:34 6:47 8:17 
11 4:17 5:42 12:15 3:33 6:48 8:18 
12 4:16 5:41 12:15 3:33 6:48 8:18 
13 4:16 5:41 12:15 3:33 6:49 8:19 
14 4:15 5:40 12:15 3:33 6:49 8:19 
15 4:14 5:40 12:15 3:32 6:50 8:20 
16 4:14 5:40 12:15 3:32 6:50 8:20 
17 4:13 5:39 12:15 3:32 6:50 8:20 
18 4:13 5:39 12:15 3:31 6:51 8:21 
19 4:12 5:38 12:15 3:31 6:51 8:21 
20 4:12 5:38 12:15 3:31 6:51 8:21 
21 4:11 5:38 12:15 3:31 6:52 8:22 
22 4:11 5:38 12:15 3:31 6:53 8:23 
23 4:10 5:37 12:16 3:30 6:53 8:23 
24 4:10 5:37 12:16 3:30 6:53 8:23 
25 4:09 5:37 12:16 3:30 6:54 8:24 
26 4:09 5:36 12:16 3:30 6:54 8:24 
27 4:09 5:36 12:16 3:30 6:55 8:25 
28 4:08 5:36 12:16 3:31 6:55 8:25 
29 4:08 5:36 12:16 3:31 6:56 8:26 
30 4:08 5:36 12:16 3:32 6:56 8:26 
31 4:08 5:36 12:16 3:32 6:56 8:26  
 June  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:07 5:35 12:17 3:33 6:57 8:27 
2 4:07 5:35 12:17 3:33 6:57 8:27 
3 4:07 5:35 12:17 3:34 6:58 8:28 
4 4:07 5:35 12:17 3:34 6:58 8:28 
5 4:06 5:35 12:17 3:35 6:58 8:28 
6 4:06 5:35 12:17 3:35 6:59 8:29 
7 4:06 5:35 12:18 3:36 6:59 8:29 
8 4:06 5:35 12:18 3:36 7:00 8:30 
9 4:06 5:35 12:18 3:37 7:00 8:30 
10 4:06 5:35 12:18 3:37 7:00 8:30 
11 4:06 5:35 12:18 3:37 7:01 8:31 
12 4:06 5:35 12:19 3:38 7:01 8:31 
13 4:06 5:35 12:19 3:38 7:01 8:31 
14 4:06 5:36 12:19 3:39 7:02 8:32 
15 4:06 5:36 12:19 3:39 7:02 8:32 
16 4:06 5:36 12:19 3:39 7:02 8:32 
17 4:06 5:36 12:20 3:39 7:02 8:32 
18 4:07 5:36 12:20 3:40 7:03 8:33 
19 4:07 5:36 12:20 3:40 7:03 8:33 
20 4:07 5:36 12:20 3:40 7:03 8:33 
21 4:07 5:37 12:20 3:41 7:03 8:33 
22 4:07 5:37 12:21 3:41 7:04 8:34 
23 4:08 5:37 12:21 3:41 7:04 8:34 
24 4:08 5:37 12:21 3:41 7:04 8:34 
25 4:08 5:38 12:21 3:41 7:04 8:34 
26 4:08 5:38 12:22 3:41 7:04 8:34 
27 4:09 5:38 12:22 3:41 7:04 8:34 
28 4:09 5:38 12:22 3:42 7:05 8:35 
29 4:10 5:39 12:22 3:42 7:05 8:35 
30 4:10 5:39 12:22 3:42 7:05 8:35 
July 
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:10 5:39 12:23 3:42 7:05 8:35 
2 4:11 5:40 12:23 3:42 7:05 8:35 
3 4:11 5:40 12:23 3:42 7:05 8:35 
4 4:12 5:40 12:23 3:42 7:05 8:35 
5 4:12 5:41 12:23 3:42 7:05 8:35 
6 4:12 5:41 12:24 3:41 7:05 8:35 
7 4:13 5:41 12:24 3:41 7:05 8:35 
8 4:13 5:42 12:24 3:41 7:05 8:35 
9 4:14 5:42 12:24 3:41 7:05 8:35 
10 4:14 5:42 12:24 3:41 7:05 8:35 
11 4:15 5:43 12:24 3:41 7:05 8:35 
12 4:15 5:43 12:24 3:40 7:04 8:34 
13 4:16 5:44 12:25 3:40 7:04 8:34 
14 4:17 5:44 12:25 3:40 7:04 8:34 
15 4:17 5:44 12:25 3:39 7:04 8:34 
16 4:18 5:45 12:25 3:39 7:04 8:34 
17 4:18 5:45 12:25 3:39 7:04 8:34 
18 4:19 5:46 12:25 3:39 7:03 8:33 
19 4:19 5:46 12:25 3:40 7:03 8:33 
20 4:20 5:46 12:25 3:40 7:03 8:33 
21 4:20 5:47 12:25 3:40 7:03 8:33 
22 4:21 5:47 12:25 3:41 7:02 8:32 
23 4:22 5:48 12:25 3:41 7:02 8:32 
24 4:22 5:48 12:25 3:41 7:02 8:32 
25 4:23 5:48 12:25 3:42 7:01 8:31 
26 4:23 5:49 12:25 3:42 7:01 8:31 
27 4:24 5:49 12:25 3:42 7:00 8:30 
28 4:25 5:50 12:25 3:42 7:00 8:30 
29 4:25 5:50 12:25 3:42 7:00 8:30 
30 4:26 5:50 12:25 3:43 6:59 8:29 
31 4:26 5:51 12:25 3:43 6:59 8:29 
 August  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:27 5:51 12:25 3:43 6:58 8:28 
2 4:28 5:52 12:25 3:44 6:58 8:28 
3 4:28 5:52 12:25 3:44 6:57 8:27 
4 4:29 5:52 12:25 3:44 6:56 8:26 
5 4:29 5:53 12:25 3:44 6:56 8:26 
6 4:30 5:53 12:25 3:44 6:55 8:25 
7 4:30 5:53 12:25 3:45 6:55 8:25 
8 4:31 5:54 12:25 3:45 6:54 8:24 
9 4:31 5:54 12:25 3:45 6:54 8:24 
10 4:32 5:54 12:24 3:45 6:53 8:23 
11 4:33 5:55 12:24 3:45 6:52 8:22 
12 4:33 5:55 12:24 3:45 6:52 8:22 
13 4:34 5:55 12:24 3:45 6:51 8:21 
14 4:34 5:56 12:24 3:45 6:50 8:20 
15 4:35 5:56 12:23 3:45 6:49 8:19 
16 4:35 5:56 12:23 3:45 6:49 8:19 
17 4:36 5:57 12:23 3:45 6:48 8:18 
18 4:36 5:57 12:23 3:45 6:47 8:17 
19 4:37 5:57 12:23 3:45 6:46 8:16 
20 4:37 5:57 12:23 3:45 6:46 8:16 
21 4:38 5:58 12:22 3:45 6:45 8:15 
22 4:38 5:58 12:22 3:45 6:44 8:14 
23 4:39 5:59 12:22 3:45 6:43 8:13 
24 4:39 5:59 12:21 3:45 6:42 8:12 
25 4:39 5:59 12:21 3:45 6:42 8:12 
26 4:40 6:00 12:21 3:45 6:41 8:11 
27 4:40 6:00 12:20 3:45 6:40 8:10 
28 4:41 6:00 12:20 3:44 6:39 8:09 
29 4:41 6:00 12:20 3:44 6:38 8:08 
30 4:42 6:01 12:20 3:44 6:37 8:07 
31 4:42 6:01 12:20 3:44 6:37 8:07 
 September  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:42 6:01 12:19 3:44 6:36 8:06 
2 4:43 6:01 12:19 3:43 6:35 8:05 
3 4:43 6:02 12:18 3:43 6:34 8:04 
4 4:44 6:02 12:18 3:43 6:33 8:03 
5 4:44 6:02 12:18 3:43 6:32 8:02 
6 4:44 6:02 12:17 3:42 6:31 8:01 
7 4:45 6:03 12:17 3:42 6:30 8:00 
8 4:45 6:03 12:17 3:42 6:29 7:59 
9 4:45 6:03 12:16 3:42 6:28 7:58 
10 4:46 6:03 12:16 3:41 6:27 7:57 
11 4:46 6:03 12:16 3:41 6:27 7:57 
12 4:46 6:04 12:15 3:40 6:25 7:55 
13 4:47 6:04 12:15 3:40 6:24 7:54 
14 4:47 6:04 12:15 3:40 6:23 7:53 
15 4:47 6:05 12:14 3:39 6:22 7:52 
16 4:48 6:05 12:14 3:39 6:21 7:51 
17 4:48 6:05 12:14 3:39 6:21 7:51 
18 4:48 6:05 12:13 3:38 6:20 7:50 
19 4:49 6:06 12:13 3:38 6:19 7:49 
20 4:49 6:06 12:12 3:37 6:18 7:48 
21 4:49 6:06 12:12 3:37 6:17 7:47 
22 4:50 6:06 12:12 3:36 6:16 7:46 
23 4:50 6:07 12:11 3:36 6:15 7:45 
24 4:50 6:07 12:11 3:36 6:14 7:44 
25 4:50 6:07 12:11 3:35 6:13 7:43 
26 4:51 6:07 12:10 3:35 6:12 7:42 
27 4:51 6:08 12:10 3:34 6:11 7:41 
28 4:51 6:08 12:10 3:34 6:10 7:40 
29 4:52 6:08 12:09 3:33 6:09 7:39 
30 4:52 6:09 12:09 3:33 6:08 7:38  
October 
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:52 6:09 12:09 3:32 6:07 7:37 
2 4:52 6:09 12:08 3:32 6:06 7:36 
3 4:53 6:09 12:08 3:31 6:05 7:35 
4 4:53 6:10 12:08 3:31 6:04 7:34 
5 4:53 6:10 12:07 3:30 6:04 7:34 
6 4:54 6:10 12:07 3:30 6:03 7:33 
7 4:54 6:11 12:07 3:29 6:02 7:32 
8 4:54 6:11 12:07 3:29 6:01 7:31 
9 4:54 6:11 12:06 3:28 6:00 7:30 
10 4:55 6:12 12:06 3:28 5:59 7:29 
11 4:55 6:12 12:06 3:27 5:58 7:28 
12 4:55 6:12 12:05 3:27 5:57 7:27 
13 4:56 6:13 12:05 3:26 5:57 7:27 
14 4:56 6:13 12:05 3:26 5:56 7:26 
15 4:56 6:13 12:05 3:25 5:55 7:25 
16 4:57 6:14 12:05 3:25 5:54 7:24 
17 4:57 6:14 12:04 3:24 5:53 7:23 
18 4:57 6:14 12:04 3:24 5:53 7:23 
19 4:57 6:15 12:04 3:23 5:52 7:22 
20 4:58 6:15 12:04 3:23 5:51 7:21 
21 4:58 6:16 12:04 3:22 5:50 7:20 
22 4:58 6:16 12:03 3:22 5:50 7:20 
23 4:59 6:16 12:03 3:22 5:49 7:19 
24 4:59 6:17 12:03 3:21 5:48 7:18 
25 5:00 6:17 12:03 3:21 5:47 7:17 
26 5:00 6:18 12:03 3:20 5:47 7:17 
27 5:00 6:18 12:03 3:20 5:46 7:46 
28 5:01 6:19 12:03 3:19 5:46 7:46 
29 5:01 6:19 12:03 3:19 5:45 7:45 
30 5:01 6:20 12:03 3:19 5:44 7:44 
31 5:02 6:20 12:02 3:18 5:44 7:44 
 November  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:02 6:21 12:02 3:18 5:43 7:43 
2 5:03 6:21 12:02 3:18 5:43 7:43 
3 5:03 6:22 12:02 3:17 5:42 7:42 
4 5:03 6:22 12:02 3:17 5:42 7:42 
5 5:04 6:23 12:02 3:17 5:41 7:41 
6 5:04 6:23 12:02 3:16 5:41 7:41 
7 5:05 6:24 12:03 3:16 5:40 7:40 
8 5:05 6:24 12:03 3:16 5:40 7:40 
9 5:05 6:24 12:03 3:16 5:40 7:40 
10 5:06 6:25 12:03 3:15 5:39 7:39 
11 5:06 6:26 12:03 3:15 5:39 7:39 
12 5:07 6:26 12:03 3:15 5:38 7:38 
13 5:07 6:27 12:03 3:15 5:38 7:38 
14 5:08 6:28 12:03 3:14 5:38 7:38 
15 5:08 6:28 12:03 3:14 5:37 7:37 
16 5:09 6:29 12:04 3:14 5:37 7:37 
17 5:09 6:29 12:04 3:14 5:37 7:37 
18 5:10 6:30 12:04 3:14 5:37 7:37 
19 5:10 6:31 12:04 3:14 5:36 7:36 
20 5:10 6:31 12:04 3:14 5:36 7:36 
21 5:11 6:32 12:05 3:14 5:36 7:36 
22 5:12 6:33 12:05 3:14 5:36 7:36 
23 5:12 6:33 12:05 3:14 5:36 7:36 
24 5:13 6:34 12:05 3:14 5:36 7:36 
25 5:13 6:35 12:06 3:14 5:36 7:06 
26 5:14 6:35 12:06 3:14 5:36 7:06 
27 5:15 6:36 12:06 3:14 5:36 7:06 
28 5:15 6:36 12:07 3:14 5:36 7:06 
29 5:16 6:37 12:07 3:14 5:36 7:06 
30 5:16 6:38 12:07 3:14 5:36 7:06 
 December 
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:16 6:38 12:07 3:14 5:36 7:06 
2 5:17 6:39 12:08 3:14 5:36 7:06 
3 5:18 6:40 12:08 3:15 5:36 7:06 
4 5:18 6:40 12:09 3:15 5:36 7:06 
5 5:19 6:41 12:09 3:15 5:36 7:06 
6 5:20 6:42 12:10 3:15 5:37 7:07 
7 5:20 6:42 12:10 3:16 5:37 7:07 
8 5:21 6:43 12:11 3:16 5:37 7:07 
9 5:21 6:44 12:11 3:16 5:37 7:07 
10 5:22 6:44 12:11 3:16 5:38 7:08 
11 5:22 6:45 12:12 3:17 5:38 7:08 
12 5:22 6:45 12:12 3:17 5:38 7:08 
13 5:23 6:46 12:13 3:17 5:39 7:09 
14 5:24 6:47 12:13 3:18 5:39 7:09 
15 5:25 6:47 12:14 3:18 5:39 7:09 
16 5:25 6:48 12:14 3:19 5:40 7:10 
17 5:26 6:48 12:15 3:19 5:40 7:10 
18 5:26 6:49 12:15 3:19 5:40 7:10 
19 5:27 6:49 12:16 3:20 5:41 7:11 
20 5:27 6:50 12:16 3:20 5:41 7:11 
21 5:28 6:50 12:17 3:21 5:42 7:12 
22 5:28 6:51 12:17 3:21 5:42 7:12 
23 5:28 6:51 12:17 3:21 5:42 7:12 
24 5:29 6:52 12:18 3:22 5:43 7:13 
25 5:30 6:52 12:19 3:23 5:44 7:14 
26 5:30 6:53 12:19 3:24 5:45 7:15 
27 5:31 6:53 12:20 3:24 5:45 7:15 
28 5:31 6:54 12:20 3:25 5:46 7:16 
29 5:31 6:54 12:21 3:25 5:46 7:16 
30 5:32 6:55 12:21 3:26 5:47 7:17 
31 5:32 6:55 12:22 3:26 5:47 7:17 
 Prayer Times Schedule 2003
Location: Tabouk, SAUDI ARABIA
Juristic Method: Standard, Timezone: GMT +3.0
Calculation Method: Umm Al-Qura 
January  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:58 7:25 12:38 3:30 5:49 7:19 
2 5:58 7:26 12:38 3:31 5:50 7:20 
3 5:58 7:26 12:38 3:31 5:50 7:20 
4 5:59 7:26 12:39 3:32 5:51 7:21 
5 5:59 7:26 12:39 3:33 5:52 7:22 
6 5:59 7:26 12:40 3:33 5:52 7:22 
7 5:59 7:27 12:40 3:34 5:53 7:23 
8 5:59 7:27 12:41 3:35 5:54 7:24 
9 6:00 7:27 12:41 3:35 5:55 7:25 
10 6:00 7:27 12:42 3:36 5:55 7:25 
11 6:00 7:27 12:42 3:37 5:56 7:26 
12 6:00 7:27 12:42 3:38 5:57 7:27 
13 6:00 7:27 12:43 3:38 5:58 7:28 
14 6:00 7:27 12:43 3:39 5:59 7:29 
15 6:00 7:27 12:43 3:40 5:59 7:29 
16 6:00 7:27 12:44 3:41 6:00 7:30 
17 6:00 7:26 12:44 3:41 6:01 7:31 
18 6:00 7:26 12:44 3:42 6:02 7:32 
19 6:00 7:26 12:45 3:43 6:03 7:33 
20 6:00 7:26 12:45 3:44 6:04 7:34 
21 6:00 7:26 12:45 3:44 6:04 7:34 
22 5:59 7:25 12:46 3:45 6:05 7:35 
23 5:59 7:25 12:46 3:46 6:06 7:36 
24 5:59 7:25 12:46 3:46 6:07 7:37 
25 5:59 7:24 12:46 3:47 6:08 7:38 
26 5:59 7:24 12:47 3:48 6:09 7:39 
27 5:58 7:24 12:47 3:49 6:09 7:39 
28 5:58 7:23 12:47 3:49 6:10 7:40 
29 5:58 7:23 12:47 3:50 6:11 7:41 
30 5:57 7:22 12:47 3:51 6:12 7:42 
31 5:57 7:22 12:48 3:51 6:13 7:43 
 February  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:57 7:21 12:48 3:52 6:13 7:43 
2 5:56 7:21 12:48 3:53 6:14 7:44 
3 5:56 7:20 12:48 3:53 6:15 7:45 
4 5:55 7:20 12:48 3:54 6:16 7:46 
5 5:55 7:19 12:48 3:54 6:17 7:47 
6 5:54 7:18 12:48 3:55 6:17 7:47 
7 5:54 7:18 12:48 3:56 6:18 7:48 
8 5:53 7:17 12:48 3:56 6:19 7:49 
9 5:52 7:16 12:48 3:57 6:20 7:50 
10 5:52 7:16 12:48 3:57 6:21 7:51 
11 5:51 7:15 12:48 3:58 6:21 7:51 
12 5:51 7:14 12:48 3:58 6:22 7:52 
13 5:50 7:13 12:48 3:59 6:23 7:53 
14 5:49 7:13 12:48 4:00 6:24 7:54 
15 5:48 7:12 12:48 4:00 6:24 7:54 
16 5:48 7:11 12:48 4:00 6:25 7:55 
17 5:48 7:11 12:48 4:00 6:25 7:55 
18 5:46 7:09 12:48 4:01 6:26 7:56 
19 5:45 7:08 12:48 4:02 6:27 7:57 
20 5:44 7:07 12:48 4:02 6:28 7:58 
21 5:44 7:07 12:48 4:03 6:29 7:59 
22 5:43 7:06 12:48 4:03 6:29 7:59 
23 5:42 7:05 12:48 4:03 6:30 8:00 
24 5:41 7:04 12:47 4:04 6:31 8:01 
25 5:40 7:03 12:47 4:04 6:31 8:01 
26 5:39 7:02 12:47 4:05 6:32 8:02 
27 5:38 7:01 12:47 4:05 6:33 8:03 
28 5:38 7:01 12:47 4:05 6:33 8:03 
 March  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:36 6:59 12:47 4:06 6:34 8:04 
2 5:35 6:58 12:46 4:06 6:35 8:05 
3 5:34 6:57 12:46 4:06 6:35 8:05 
4 5:33 6:56 12:46 4:06 6:36 8:06 
5 5:32 6:55 12:46 4:07 6:36 8:06 
6 5:31 6:54 12:46 4:07 6:37 8:07 
7 5:30 6:52 12:45 4:07 6:38 8:08 
8 5:29 6:51 12:45 4:07 6:38 8:08 
9 5:28 6:50 12:45 4:07 6:39 8:09 
10 5:27 6:49 12:45 4:08 6:39 8:09 
11 5:26 6:48 12:44 4:08 6:40 8:10 
12 5:25 6:47 12:44 4:08 6:41 8:11 
13 5:23 6:46 12:44 4:08 6:41 8:11 
14 5:22 6:45 12:44 4:08 6:42 8:12 
15 5:21 6:44 12:43 4:08 6:42 8:12 
16 5:20 6:42 12:43 4:08 6:43 8:13 
17 5:19 6:41 12:43 4:09 6:44 8:14 
18 5:17 6:40 12:42 4:09 6:44 8:14 
19 5:16 6:39 12:42 4:09 6:45 8:15 
20 5:15 6:38 12:42 4:09 6:45 8:15 
21 5:14 6:37 12:42 4:09 6:46 8:16 
22 5:13 6:36 12:41 4:09 6:46 8:16 
23 5:11 6:34 12:41 4:09 6:47 8:17 
24 5:10 6:33 12:41 4:09 6:47 8:17 
25 5:09 6:32 12:40 4:09 6:48 8:18 
26 5:08 6:31 12:40 4:09 6:49 8:19 
27 5:06 6:30 12:40 4:09 6:49 8:19 
28 5:05 6:29 12:39 4:09 6:50 8:20 
29 5:04 6:27 12:39 4:09 6:50 8:20 
30 5:03 6:26 12:39 4:09 6:51 8:21 
31 5:01 6:25 12:38 4:09 6:51 8:21 
April  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:00 6:24 12:38 4:09 6:52 8:22 
2 4:59 6:23 12:38 4:09 6:52 8:22 
3 4:58 6:22 12:38 4:09 6:53 8:23 
4 4:56 6:21 12:37 4:09 6:53 8:23 
5 4:55 6:20 12:37 4:09 6:54 8:24 
6 4:54 6:18 12:37 4:08 6:55 8:25 
7 4:52 6:17 12:36 4:08 6:55 8:25 
8 4:51 6:16 12:36 4:08 6:56 8:26 
9 4:50 6:15 12:36 4:08 6:56 8:26 
10 4:49 6:14 12:36 4:08 6:57 8:27 
11 4:47 6:13 12:35 4:08 6:57 8:27 
12 4:46 6:12 12:35 4:08 6:58 8:28 
13 4:45 6:11 12:35 4:08 6:58 8:28 
14 4:44 6:10 12:35 4:08 6:59 8:29 
15 4:42 6:09 12:34 4:08 7:00 8:30 
16 4:41 6:08 12:34 4:07 7:00 8:30 
17 4:41 6:08 12:34 4:07 7:00 8:30 
18 4:39 6:05 12:34 4:07 7:01 8:31 
19 4:37 6:04 12:33 4:07 7:02 8:32 
20 4:36 6:03 12:33 4:07 7:02 8:32 
21 4:35 6:02 12:33 4:07 7:03 8:33 
22 4:34 6:01 12:33 4:07 7:03 8:33 
23 4:33 6:01 12:33 4:06 7:04 8:34 
24 4:31 6:00 12:32 4:06 7:05 8:35 
25 4:30 5:59 12:32 4:06 7:05 8:35 
26 4:29 5:58 12:32 4:06 7:06 8:36 
27 4:28 5:57 12:32 4:06 7:06 8:36 
28 4:28 5:57 12:32 4:06 7:06 8:36 
29 4:26 5:55 12:32 4:06 7:08 8:38 
30 4:24 5:54 12:31 4:05 7:08 8:38 
 May  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:23 5:53 12:31 4:05 7:09 8:39 
2 4:22 5:52 12:31 4:05 7:09 8:39 
